",",",",s
burial,burial,,topic_4,0,freq5,0,ig1,0,sal5,0
",",",",s
burial,burial,,topic_4,0,freq5,0,ig1,0,sal5,0
",",",",s
burial,burial,,topic_4,0,freq5,0,ig1,0,sal5,0
",",",",s
burial,burial,s,topic_4,0,freq5,0,ig1,0,sal5,0
And,and,s,topic_86,0,freq3,0,ig5,0,sal5,0
let,let,s,topic_78,0,freq4,0,ig5,0,sal5,0
them,them,s,topic_79,0,freq2,0,ig5,0,sal3,0
see,see,s,topic_35,0,freq4,0,ig5,0,sal5,0
But,but,s,topic_18,0,freq3,0,ig5,0,sal4,0
tell,tell,s,topic_4,0,freq3,0,ig5,0,sal5,0
us,us,,topic_25,0,freq2,0,ig5,0,sal3,0
",",",",s
are,are,s,topic_87,0,freq4,0,ig5,0,sal5,0
you,you,s,topic_41,0,freq1,0,ig5,0,sal4,0
satisfied,satisfied,,topic_0,0,freq5,0,ig5,0,sal5,0
",",",",s
with,with,s,topic_0,0,freq4,0,ig5,0,sal5,0
fucking,fucking,s,topic_46,0,freq3,0,ig4,0,sal2,0
up,up,,topic_79,0,freq4,0,ig5,0,sal5,0
?,?,s
Don't,don't,s,topic_78,0,freq3,0,ig5,0,sal5,0
walk,walk,s,topic_4,0,freq4,0,ig5,0,sal5,0
away,away,,topic_78,0,freq5,0,ig5,0,sal5,0
",",",",s
don't,don't,s,topic_4,0,freq3,0,ig5,0,sal5,0
walk,walk,n,topic_4,0,freq4,0,ig5,0,sal5,0
away,away,,topic_77,0,freq1,0,ig5,0,sal1,0
",",",",s
don't,don't,s,topic_18,0,freq3,0,ig5,0,sal5,0
walk,walk,s,topic_4,0,freq4,0,ig5,0,sal5,0
away,away,s,topic_4,0,freq4,0,ig5,0,sal5,0
I'm,i'm,s,topic_38,0,freq3,0,ig5,0,sal5,0
talking,talking,s,topic_5,0,freq5,0,ig5,0,sal5,0
to,to,s,topic_86,0,freq2,0,ig5,0,sal5,0
you,you,,topic_4,0,freq1,0,ig5,0,sal5,0
!,!,s
Lovey,lovey,s,topic_5,0,freq5,0,ig4,0,sal5,0
dove,dove,,topic_87,0,freq5,0,ig4,0,sal3,0
",",",",s
love,love,s,topic_0,0,freq1,0,ig5,0,sal1,0
is,is,s,topic_92,0,freq1,0,ig5,0,sal1,0
hell,hell,,topic_92,0,freq5,0,ig5,0,sal5,0
",",",",s
love,love,s,topic_0,0,freq1,0,ig5,0,sal1,0
is,is,s,topic_55,0,freq2,0,ig5,0,sal5,0
hell,hell,,topic_79,0,freq5,0,ig5,0,sal5,0
",",",",s
love,love,s,topic_0,0,freq1,0,ig5,0,sal1,0
is,is,s,topic_35,0,freq3,0,ig5,0,sal5,0
up,up,s,topic_20,0,freq1,0,ig5,0,sal1,0
to,to,s,topic_86,0,freq2,0,ig5,0,sal5,0
you,you,s,topic_41,0,freq1,0,ig5,0,sal4,0
Love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
",",",",s
love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
",",",",s
love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
",",",",s
love,love,s,topic_0,0,freq1,0,ig5,0,sal1,0
is,is,s,topic_92,0,freq1,0,ig5,0,sal1,0
up,up,s,topic_20,0,freq1,0,ig5,0,sal1,0
to,to,s,topic_78,0,freq2,0,ig5,0,sal5,0
you,you,s,topic_4,0,freq1,0,ig5,0,sal5,0
Love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
",",",",s
love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
",",",",s
love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
",",",",s
love,love,s,topic_0,0,freq1,0,ig5,0,sal1,0
is,is,s,topic_92,0,freq1,0,ig5,0,sal1,0
up,up,s,topic_86,0,freq3,0,ig5,0,sal5,0
to,to,s,topic_79,0,freq2,0,ig5,0,sal5,0
you,you,s,topic_35,0,freq4,0,ig5,0,sal5,0
Fuck,fuck,,topic_46,0,freq2,0,ig1,0,sal1,0
!,!,s
In,in,s,topic_75,0,freq5,0,ig5,0,sal5,0
the,the,s,topic_86,0,freq2,0,ig5,0,sal5,0
sky,sky,s,topic_87,0,freq3,0,ig5,0,sal3,0
is,is,s,topic_4,0,freq3,0,ig5,0,sal5,0
half-wrote,half-wrote,s,topic_67,0,freq5,0,ig4,0,sal5,0
Up,up,s,topic_86,0,freq3,0,ig5,0,sal5,0
from,from,s,topic_55,0,freq3,0,ig5,0,sal5,0
the,the,s,topic_92,0,freq3,0,ig5,0,sal5,0
ground,ground,,topic_86,0,freq5,0,ig5,0,sal5,0
",",",",s
I,i,s,topic_18,0,freq1,0,ig5,0,sal2,0
stay,stay,s,topic_35,0,freq5,0,ig5,0,sal5,0
out,out,s,topic_78,0,freq4,0,ig5,0,sal5,0
of,of,s,topic_5,0,freq2,0,ig5,0,sal4,0
breath,breath,s,topic_55,0,freq5,0,ig5,0,sal5,0
I,i,s,topic_18,0,freq1,0,ig5,0,sal2,0
felt,felt,s,topic_4,0,freq5,0,ig5,0,sal5,0
the,the,s,topic_92,0,freq3,0,ig5,0,sal5,0
temperature,temperature,s,topic_86,0,freq5,0,ig5,0,sal5,0
rises,rises,s,topic_35,0,freq5,0,ig4,0,sal4,0
And,and,s,topic_25,0,freq2,0,ig5,0,sal5,0
I,i,s,topic_0,0,freq2,0,ig5,0,sal5,0
felt,felt,s,topic_4,0,freq5,0,ig5,0,sal5,0
across,across,s,topic_5,0,freq4,0,ig5,0,sal4,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
creeping,creeping,s,topic_5,0,freq5,0,ig4,0,sal3,0
(,(,
???,???,
),),s
Ah,ah,,topic_79,0,freq5,0,ig5,0,sal5,0
",",",",s
These,these,s,topic_18,0,freq5,0,ig5,0,sal4,0
graves,graves,,topic_87,0,freq5,0,ig5,0,sal5,0
...,...,s
(,(,
???,???,
),),n
