Document,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35
Between_Blue_Eyes_And_Jeans_Conway_Twitty,3.44E+00,5.71E+00,2.84E-02,3.44E+00,2.84E-02,2.30E+00,5.97E-01,8.55E+00,4.01E+00,9.69E+00,2.84E-02,2.56E+01,2.84E-02,4.01E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Miles_Blowin_Chaka_Khan,2.42E-02,1.60E+01,2.42E-02,2.92E+00,3.41E+00,1.45E+01,2.42E-02,2.44E+00,2.42E-02,6.30E+00,2.42E-02,6.30E+00,2.42E-02,1.47E+00,9.90E-01,3.89E+00,1.47E+00,5.34E+00,2.42E-02,5.07E-01,2.42E-02,1.96E+00,2.42E-02,9.90E-01,2.42E-02,4.37E+00,3.41E+00,4.37E+00,4.37E+00,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Be_An_Angel_Dean_Martin,4.35E-02,9.13E-01,4.35E-02,3.52E+00,4.35E-02,3.48E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Pokemon_Bob_Rivers,2.02E-02,4.25E-01,2.02E-02,3.26E+00,2.02E-02,9.33E+00,4.25E-01,8.30E-01,2.02E-02,4.47E+00,2.02E-02,8.30E-01,4.25E-01,4.07E+00,2.02E-02,4.07E+00,2.02E-02,4.37E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Burn_Georgia_Burn_Conway_Twitty,3.21E-02,6.73E-01,3.21E-02,8.37E+00,5.80E+00,7.08E+00,1.16E+01,5.80E+00,3.21E-02,7.08E+00,3.21E-02,1.96E+00,3.21E-02,3.24E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
"Shame,_Shame,_Shame_Aerosmith",2.24E-02,9.19E-01,2.24E-02,1.53E+01,2.24E-02,4.71E-01,2.24E-02,4.71E-01,2.24E-02,7.20E+00,2.24E-02,1.12E+01,2.24E-02,9.19E-01,2.24E-02,7.65E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
The_Way_It_Must_Be_Dan_Fogelberg,1.95E-02,2.36E+00,1.95E-02,1.84E+01,1.58E+00,1.97E+00,1.95E-02,4.10E-01,1.95E-02,1.97E+00,1.95E-02,9.39E+00,1.95E-02,7.83E+00,2.75E+00,3.54E+00,3.54E+00,1.64E+01,1.95E-02,6.66E+00,1.95E-02,6.27E+00,5.88E+00,2.75E+00,1.95E-02,1.58E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
"Mary,_Did_You_Know%3F_Christmas_Songs",2.58E-02,2.01E+01,2.58E-02,1.06E+00,2.58E-02,5.41E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Cos_I_Love_That_Rock'n'roll_Cliff_Richard,2.75E-02,1.10E+01,2.75E-02,8.27E+00,2.75E-02,1.13E+00,2.75E-02,6.62E+00,2.75E-02,5.77E-01,2.75E-02,5.77E-01,2.75E-02,2.23E+00,2.75E-02,9.37E+00,2.75E-02,4.97E+00,2.75E-02,5.77E-01,7.17E+00,1.68E+00,2.75E-02,5.77E-01,2.75E-02,5.77E-01,2.75E-02,1.27E+01,2.75E-02,5.77E-01,1.68E+00,1.10E+01,2.75E-02,4.42E+00,2.75E-02,1.13E+00
Watermelon_Song_Dave_Matthews_Band,3.08E+00,1.52E+01,4.09E+00,3.08E+00,1.06E+00,2.53E+01,5.05E-02,3.08E+00,5.05E-02,1.06E+00,8.13E+00,1.06E+00,6.11E+00,1.12E+01,5.05E-02,1.06E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
